district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Galle,2023,2,February,559.69,520.63,93.02,28
Galle,2023,3,March,666.89,654.01,98.07,31
Galle,2023,4,April,649.68,640.1,98.53,30
Galle,2023,5,May,576.72,501.76,87.0,31
Galle,2023,6,June,573.26,573.26,100.0,30
Galle,2023,7,July,595.3,547.04,91.89,31
Galle,2023,8,August,684.74,672.99,98.28,31
Galle,2023,9,September,495.39,408.65,82.49,30
Galle,2023,10,October,476.08,350.11,73.54,31
Galle,2023,11,November,491.07,406.1,82.7,30
Galle,2023,12,December,493.65,346.5,70.19,31
Galle,2024,1,January,570.59,543.62,95.27,31
Galle,2024,2,February,649.05,649.05,100.0,29
Galle,2024,3,March,703.8,703.8,100.0,31
Galle,2024,4,April,647.93,634.5,97.93,30
Galle,2024,5,May,532.56,465.65,87.44,31
Galle,2024,6,June,138.31,113.94,82.38,8
Gampaha,2010,1,January,611.41,588.84,96.31,31
Gampaha,2010,2,February,568.16,538.04,94.7,28
Gampaha,2010,3,March,688.62,688.62,100.0,31
Gampaha,2010,4,April,562.11,530.64,94.4,30
Gampaha,2010,5,May,477.98,353.19,73.89,31
Gampaha,2010,6,June,476.57,382.6,80.28,30
Gampaha,2010,7,July,512.13,399.25,77.96,31
Gampaha,2010,8,August,502.17,367.89,73.26,31
Gampaha,2010,9,September,473.96,314.68,66.39,30
Gampaha,2010,10,October,501.19,391.33,78.08,31
Gampaha,2010,11,November,441.96,270.75,61.26,30
Gampaha,2010,12,December,385.31,188.24,48.85,31
Gampaha,2011,1,January,439.02,281.26,64.07,31
Gampaha,2011,2,February,474.11,392.45,82.78,28
Gampaha,2011,3,March,666.79,666.79,100.0,31
Gampaha,2011,4,April,564.65,493.22,87.35,30
Gampaha,2011,5,May,554.67,512.56,92.41,31
Gampaha,2011,6,June,532.74,463.3,86.97,30
Gampaha,2011,7,July,518.48,419.53,80.92,31
Gampaha,2011,8,August,533.91,456.56,85.51,31
Gampaha,2011,9,September,530.0,425.6,80.3,30
Gampaha,2011,10,October,534.55,464.9,86.97,31
Gampaha,2011,11,November,493.07,364.45,73.91,30
Gampaha,2011,12,December,498.03,397.08,79.73,31
Gampaha,2012,1,January,632.07,617.29,97.66,31
Gampaha,2012,2,February,566.86,529.71,93.45,29
Gampaha,2012,3,March,690.7,690.7,100.0,31
Gampaha,2012,4,April,562.3,531.73,94.56,30
Gampaha,2012,5,May,572.53,532.45,93.0,31
Gampaha,2012,6,June,484.42,378.24,78.08,30
Gampaha,2012,7,July,547.76,482.83,88.15,31
Gampaha,2012,8,August,533.5,451.71,84.67,31
Gampaha,2012,9,September,520.56,441.27,84.77,30
Gampaha,2012,10,October,496.06,388.34,78.28,31
Gampaha,2012,11,November,490.07,370.57,75.62,30
Gampaha,2012,12,December,477.18,270.77,56.74,31
Gampaha,2013,1,January,554.5,459.21,82.82,31
Gampaha,2013,2,February,561.7,525.96,93.64,28
Gampaha,2013,3,March,637.06,633.1,99.38,31
Gampaha,2013,4,April,620.15,607.63,97.98,30
Gampaha,2013,5,May,479.58,338.23,70.53,31
Gampaha,2013,6,June,426.86,228.41,53.51,30
Gampaha,2013,7,July,513.26,393.5,76.67,31
Gampaha,2013,8,August,586.36,577.51,98.49,31
Gampaha,2013,9,September,482.34,333.88,69.22,30
Gampaha,2013,10,October,520.35,397.87,76.46,31
Gampaha,2013,11,November,537.2,507.24,94.42,30
Gampaha,2013,12,December,484.6,388.52,80.17,31
Gampaha,2014,1,January,580.78,526.85,90.71,31
Gampaha,2014,2,February,627.62,627.62,100.0,28
Gampaha,2014,3,March,715.47,715.47,100.0,31
Gampaha,2014,4,April,603.7,590.66,97.84,30
Gampaha,2014,5,May,521.74,495.52,94.97,31
Gampaha,2014,6,June,511.47,454.01,88.77,30
Gampaha,2014,7,July,547.19,494.59,90.39,31
Gampaha,2014,8,August,513.71,412.46,80.29,31
Gampaha,2014,9,September,528.26,516.52,97.78,30
Gampaha,2014,10,October,474.32,347.53,73.27,31
Gampaha,2014,11,November,443.04,266.13,60.07,30
Gampaha,2014,12,December,413.65,341.95,82.67,31
Gampaha,2015,1,January,629.24,629.24,100.0,31
Gampaha,2015,2,February,589.74,574.84,97.47,28
Gampaha,2015,3,March,699.25,689.4,98.59,31
Gampaha,2015,4,April,610.18,584.82,95.84,30
Gampaha,2015,5,May,536.39,470.46,87.71,31
Gampaha,2015,6,June,492.51,354.76,72.03,30
Gampaha,2015,7,July,546.48,482.36,88.27,31
Gampaha,2015,8,August,565.73,524.95,92.79,31
Gampaha,2015,9,September,467.91,352.54,75.34,30
Gampaha,2015,10,October,475.71,377.97,79.45,31
Gampaha,2015,11,November,439.13,305.45,69.56,30
Gampaha,2015,12,December,490.75,353.94,72.12,31
Gampaha,2016,1,January,634.56,621.2,97.89,31
Gampaha,2016,2,February,617.24,604.25,97.9,29
Gampaha,2016,3,March,694.84,694.84,100.0,31
Gampaha,2016,4,April,648.58,648.58,100.0,30
Gampaha,2016,5,May,436.28,275.41,63.13,31
Gampaha,2016,6,June,504.17,421.79,83.66,30
Gampaha,2016,7,July,542.99,449.83,82.84,31
Gampaha,2016,8,August,585.59,585.59,100.0,31
Gampaha,2016,9,September,558.86,531.38,95.08,30
Gampaha,2016,10,October,583.71,571.3,97.87,31
Gampaha,2016,11,November,470.0,321.44,68.39,30
Gampaha,2016,12,December,585.16,541.78,92.59,31
Gampaha,2017,1,January,605.44,536.69,88.64,31
Gampaha,2017,2,February,598.41,562.19,93.95,28
Gampaha,2017,3,March,645.95,633.13,98.02,31
Gampaha,2017,4,April,625.56,611.19,97.7,30
Gampaha,2017,5,May,508.57,402.4,79.12,31
Gampaha,2017,6,June,488.69,311.66,63.77,30
Gampaha,2017,7,July,561.98,526.54,93.69,31
Gampaha,2017,8,August,530.78,436.44,82.23,31
Gampaha,2017,9,September,506.38,407.84,80.54,30
Gampaha,2017,10,October,482.8,348.51,72.19,31
Gampaha,2017,11,November,416.49,237.72,57.08,30
Gampaha,2017,12,December,548.58,512.38,93.4,31
Gampaha,2018,1,January,617.87,578.89,93.69,31
Gampaha,2018,2,February,580.8,553.89,95.37,28
Gampaha,2018,3,March,606.82,554.78,91.42,31
Gampaha,2018,4,April,594.6,579.63,97.48,30
Gampaha,2018,5,May,448.77,295.63,65.88,31
Gampaha,2018,6,June,488.5,371.34,76.02,30
Gampaha,2018,7,July,572.6,519.35,90.7,31
Gampaha,2018,8,August,572.41,520.11,90.86,31
Gampaha,2018,9,September,604.24,550.0,91.02,30
Gampaha,2018,10,October,484.23,347.79,71.82,31
Gampaha,2018,11,November,478.29,368.14,76.97,30
Gampaha,2018,12,December,547.15,477.13,87.2,31
Gampaha,2019,1,January,639.01,594.95,93.1,31
Gampaha,2019,2,February,556.72,515.62,92.62,28
Gampaha,2019,3,March,700.46,700.46,100.0,31
Gampaha,2019,4,April,577.46,524.58,90.84,30
Gampaha,2019,5,May,547.17,479.4,87.61,31
Gampaha,2019,6,June,500.29,391.46,78.25,30
Gampaha,2019,7,July,580.42,553.99,95.45,31
Gampaha,2019,8,August,469.7,288.33,61.39,31
Gampaha,2019,9,September,486.39,398.09,81.85,30
Gampaha,2019,10,October,446.17,281.45,63.08,31
Gampaha,2019,11,November,511.23,421.28,82.41,30
Gampaha,2019,12,December,492.08,329.47,66.95,31
Gampaha,2020,1,January,641.79,641.79,100.0,31
Gampaha,2020,2,February,650.09,650.09,100.0,29
Gampaha,2020,3,March,686.12,675.17,98.4,31
Gampaha,2020,4,April,648.37,648.37,100.0,30
Gampaha,2020,5,May,482.28,312.11,64.72,31
Gampaha,2020,6,June,521.0,429.44,82.43,30
Gampaha,2020,7,July,478.1,316.81,66.26,31
Gampaha,2020,8,August,576.88,498.65,86.44,31
Gampaha,2020,9,September,421.25,209.72,49.79,30
Gampaha,2020,10,October,594.21,566.62,95.36,31
Gampaha,2020,11,November,495.2,369.99,74.72,30
Gampaha,2020,12,December,496.6,356.95,71.88,31
Gampaha,2021,1,January,502.47,364.89,72.62,31
Gampaha,2021,2,February,615.6,615.6,100.0,28
Gampaha,2021,3,March,617.16,567.75,91.99,31
Gampaha,2021,4,April,624.7,624.7,100.0,30
Gampaha,2021,5,May,503.73,403.35,80.07,31
Gampaha,2021,6,June,509.67,414.71,81.37,30
Gampaha,2021,7,July,552.1,470.46,85.21,31
Gampaha,2021,8,August,518.63,408.55,78.77,31
Gampaha,2021,9,September,508.75,417.88,82.14,30
Gampaha,2021,10,October,519.86,397.77,76.51,31
Gampaha,2021,11,November,400.19,179.46,44.84,30
Gampaha,2021,12,December,601.25,579.02,96.3,31
Gampaha,2022,1,January,629.24,616.55,97.98,31
Gampaha,2022,2,February,613.0,600.48,97.96,28
Gampaha,2022,3,March,659.9,645.08,97.75,31
Gampaha,2022,4,April,581.61,556.61,95.7,30
Gampaha,2022,5,May,508.86,420.37,82.61,31
Gampaha,2022,6,June,512.46,424.35,82.81,30
Gampaha,2022,7,July,573.36,497.86,86.83,31
Gampaha,2022,8,August,578.55,514.22,88.88,31
Gampaha,2022,9,September,612.72,576.27,94.05,30
Gampaha,2022,10,October,513.15,428.76,83.55,31
Gampaha,2022,11,November,511.24,373.4,73.04,30
Gampaha,2022,12,December,498.27,436.17,87.54,31
Gampaha,2023,1,January,595.74,548.63,92.09,31
Gampaha,2023,2,February,586.81,545.86,93.02,28
Gampaha,2023,3,March,679.64,665.44,97.91,31
Gampaha,2023,4,April,643.36,630.49,98.0,30
Gampaha,2023,5,May,551.84,472.38,85.6,31
Gampaha,2023,6,June,515.43,460.88,89.42,30
Gampaha,2023,7,July,589.36,528.14,89.61,31
Gampaha,2023,8,August,683.57,683.57,100.0,31
Gampaha,2023,9,September,466.27,283.08,60.71,30
Gampaha,2023,10,October,502.42,378.41,75.32,31
Gampaha,2023,11,November,472.13,346.51,73.39,30
Gampaha,2023,12,December,485.25,325.87,67.16,31
Gampaha,2024,1,January,575.99,497.6,86.39,31
Gampaha,2024,2,February,656.28,656.28,100.0,29
Gampaha,2024,3,March,730.42,730.42,100.0,31
Gampaha,2024,4,April,646.87,646.87,100.0,30
Gampaha,2024,5,May,504.59,353.51,70.06,31
Gampaha,2024,6,June,133.3,112.02,84.04,8
Hambantota,2010,1,January,610.31,584.87,95.83,31
Hambantota,2010,2,February,615.91,580.83,94.3,28
Hambantota,2010,3,March,725.12,710.93,98.04,31
Hambantota,2010,4,April,629.01,619.98,98.56,30
Hambantota,2010,5,May,581.65,531.65,91.4,31
Hambantota,2010,6,June,560.85,484.06,86.31,30
Hambantota,2010,7,July,615.35,589.28,95.76,31
Hambantota,2010,8,August,595.75,543.38,91.21,31
Hambantota,2010,9,September,571.23,509.91,89.27,30
Hambantota,2010,10,October,619.49,551.66,89.05,31
Hambantota,2010,11,November,489.8,370.16,75.57,30
Hambantota,2010,12,December,435.79,259.59,59.57,31
Hambantota,2011,1,January,491.4,396.32,80.65,31
Hambantota,2011,2,February,497.67,410.69,82.52,28
Hambantota,2011,3,March,671.21,660.78,98.45,31
Hambantota,2011,4,April,613.32,579.49,94.48,30
Hambantota,2011,5,May,667.88,667.88,100.0,31
Hambantota,2011,6,June,639.13,639.13,100.0,30
Hambantota,2011,7,July,624.25,624.25,100.0,31
Hambantota,2011,8,August,624.41,597.28,95.66,31
Hambantota,2011,9,September,639.34,618.58,96.75,30
Hambantota,2011,10,October,605.56,560.35,92.53,31
Hambantota,2011,11,November,492.01,359.8,73.13,30
Hambantota,2011,12,December,499.6,422.95,84.66,31
Hambantota,2012,1,January,636.71,636.71,100.0,31
Hambantota,2012,2,February,599.91,561.29,93.56,29
Hambantota,2012,3,March,712.69,712.69,100.0,31
Hambantota,2012,4,April,602.33,591.4,98.19,30
Hambantota,2012,5,May,707.29,707.29,100.0,31
Hambantota,2012,6,June,592.14,578.83,97.75,30
Hambantota,2012,7,July,652.23,652.23,100.0,31
Hambantota,2012,8,August,641.99,627.16,97.69,31
Hambantota,2012,9,September,608.19,597.62,98.26,30
Hambantota,2012,10,October,554.28,451.61,81.48,31
Hambantota,2012,11,November,507.45,411.09,81.01,30
Hambantota,2012,12,December,498.59,358.16,71.83,31
Hambantota,2013,1,January,540.18,427.03,79.05,31
Hambantota,2013,2,February,560.84,532.76,94.99,28
Hambantota,2013,3,March,652.14,646.32,99.11,31
Hambantota,2013,4,April,662.8,662.8,100.0,30
Hambantota,2013,5,May,607.45,527.98,86.92,31
Hambantota,2013,6,June,546.99,485.1,88.69,30
Hambantota,2013,7,July,620.64,620.64,100.0,31
Hambantota,2013,8,August,672.2,672.2,100.0,31
Hambantota,2013,9,September,600.98,590.62,98.28,30
Hambantota,2013,10,October,615.49,562.93,91.46,31
Hambantota,2013,11,November,565.43,537.27,95.02,30
Hambantota,2013,12,December,504.68,417.41,82.71,31
Hambantota,2014,1,January,610.04,558.16,91.5,31
Hambantota,2014,2,February,654.4,654.4,100.0,28
Hambantota,2014,3,March,751.55,737.29,98.1,31
Hambantota,2014,4,April,660.74,646.18,97.8,30
Hambantota,2014,5,May,625.28,605.37,96.82,31
Hambantota,2014,6,June,608.0,578.49,95.15,30
Hambantota,2014,7,July,643.78,629.4,97.77,31
Hambantota,2014,8,August,627.9,602.34,95.93,31
Hambantota,2014,9,September,638.63,638.63,100.0,30
Hambantota,2014,10,October,560.88,514.65,91.76,31
Hambantota,2014,11,November,486.4,396.67,81.55,30
Hambantota,2014,12,December,432.51,329.32,76.14,31
Hambantota,2015,1,January,616.23,590.15,95.77,31
Hambantota,2015,2,February,599.73,599.73,100.0,28
Hambantota,2015,3,March,723.93,702.85,97.09,31
Hambantota,2015,4,April,632.53,604.54,95.57,30
Hambantota,2015,5,May,626.56,612.58,97.77,31
Hambantota,2015,6,June,616.38,588.34,95.45,30
Hambantota,2015,7,July,646.03,618.46,95.73,31
Hambantota,2015,8,August,648.16,634.33,97.87,31
Hambantota,2015,9,September,556.73,511.92,91.95,30
Hambantota,2015,10,October,544.39,445.78,81.89,31
Hambantota,2015,11,November,488.29,354.22,72.54,30
Hambantota,2015,12,December,519.99,407.17,78.3,31
Hambantota,2016,1,January,639.4,639.4,100.0,31
Hambantota,2016,2,February,616.58,608.62,98.71,29
Hambantota,2016,3,March,748.96,748.96,100.0,31
Hambantota,2016,4,April,666.05,666.05,100.0,30
Hambantota,2016,5,May,527.49,430.04,81.53,31
Hambantota,2016,6,June,584.36,569.63,97.48,30
Hambantota,2016,7,July,639.1,611.91,95.75,31
Hambantota,2016,8,August,671.76,644.03,95.87,31
Hambantota,2016,9,September,662.11,662.11,100.0,30
Hambantota,2016,10,October,662.47,662.47,100.0,31
Hambantota,2016,11,November,472.73,378.82,80.13,30
Hambantota,2016,12,December,587.61,558.0,94.96,31
Hambantota,2017,1,January,594.88,513.54,86.33,31
Hambantota,2017,2,February,581.72,523.07,89.92,28
Hambantota,2017,3,March,667.5,659.2,98.76,31
Hambantota,2017,4,April,681.14,681.14,100.0,30
Hambantota,2017,5,May,623.94,587.68,94.19,31
Hambantota,2017,6,June,590.87,569.33,96.35,30
Hambantota,2017,7,July,638.26,638.26,100.0,31
Hambantota,2017,8,August,637.92,624.96,97.97,31
Hambantota,2017,9,September,578.5,544.36,94.1,30
Hambantota,2017,10,October,612.52,572.11,93.4,31
Hambantota,2017,11,November,435.24,345.78,79.45,30
Hambantota,2017,12,December,538.76,454.76,84.41,31
Hambantota,2018,1,January,597.16,538.31,90.15,31
Hambantota,2018,2,February,591.27,591.27,100.0,28
Hambantota,2018,3,March,630.11,580.96,92.2,31
Hambantota,2018,4,April,592.84,552.78,93.24,30
Hambantota,2018,5,May,518.51,457.25,88.19,31
Hambantota,2018,6,June,579.93,579.93,100.0,30
Hambantota,2018,7,July,646.84,646.84,100.0,31
Hambantota,2018,8,August,655.94,655.94,100.0,31
Hambantota,2018,9,September,653.14,653.14,100.0,30
Hambantota,2018,10,October,555.61,498.94,89.8,31
Hambantota,2018,11,November,510.1,438.72,86.01,30
Hambantota,2018,12,December,545.42,492.43,90.28,31
Hambantota,2019,1,January,633.03,621.96,98.25,31
Hambantota,2019,2,February,577.79,565.06,97.8,28
Hambantota,2019,3,March,699.64,699.64,100.0,31
Hambantota,2019,4,April,607.03,560.45,92.33,30
Hambantota,2019,5,May,630.14,602.92,95.68,31
Hambantota,2019,6,June,571.35,544.18,95.24,30
Hambantota,2019,7,July,611.64,601.92,98.41,31
Hambantota,2019,8,August,530.43,424.0,79.94,31
Hambantota,2019,9,September,534.05,488.9,91.55,30
Hambantota,2019,10,October,491.25,375.8,76.5,31
Hambantota,2019,11,November,535.04,444.43,83.06,30
Hambantota,2019,12,December,500.59,382.0,76.31,31
Hambantota,2020,1,January,646.43,632.64,97.87,31
Hambantota,2020,2,February,646.8,633.28,97.91,29
Hambantota,2020,3,March,732.25,732.25,100.0,31
Hambantota,2020,4,April,645.98,633.2,98.02,30
Hambantota,2020,5,May,586.51,547.82,93.4,31
Hambantota,2020,6,June,592.7,552.09,93.15,30
Hambantota,2020,7,July,559.61,514.94,92.02,31
Hambantota,2020,8,August,632.86,600.99,94.96,31
Hambantota,2020,9,September,532.22,443.91,83.41,30
Hambantota,2020,10,October,668.59,668.59,100.0,31
Hambantota,2020,11,November,534.81,461.13,86.22,30
Hambantota,2020,12,December,538.24,463.66,86.14,31
Hambantota,2021,1,January,511.31,388.3,75.94,31
Hambantota,2021,2,February,595.07,570.24,95.83,28
Hambantota,2021,3,March,595.68,521.98,87.63,31
Hambantota,2021,4,April,653.87,626.52,95.82,30
Hambantota,2021,5,May,594.45,551.33,92.75,31
Hambantota,2021,6,June,617.28,602.79,97.65,30
Hambantota,2021,7,July,609.7,567.67,93.11,31
Hambantota,2021,8,August,614.99,568.32,92.41,31
Hambantota,2021,9,September,614.62,590.36,96.05,30
Hambantota,2021,10,October,589.14,531.01,90.13,31
Hambantota,2021,11,November,507.01,402.89,79.46,30
Hambantota,2021,12,December,568.67,509.79,89.65,31
Hambantota,2022,1,January,623.23,582.43,93.45,31
Hambantota,2022,2,February,604.14,590.53,97.75,28
Hambantota,2022,3,March,666.48,632.43,94.89,31
Hambantota,2022,4,April,645.27,645.27,100.0,30
Hambantota,2022,5,May,626.99,605.87,96.63,31
Hambantota,2022,6,June,598.87,589.67,98.46,30
Hambantota,2022,7,July,614.0,564.28,91.9,31
Hambantota,2022,8,August,652.39,615.43,94.33,31
Hambantota,2022,9,September,667.97,656.2,98.24,30
Hambantota,2022,10,October,611.86,574.81,93.94,31
Hambantota,2022,11,November,538.06,457.11,84.96,30
Hambantota,2022,12,December,526.01,429.31,81.62,31
Hambantota,2023,1,January,590.76,533.14,90.25,31
Hambantota,2023,2,February,590.26,563.53,95.47,28
Hambantota,2023,3,March,664.68,642.89,96.72,31
Hambantota,2023,4,April,665.39,642.93,96.62,30
Hambantota,2023,5,May,614.27,581.67,94.69,31
Hambantota,2023,6,June,637.33,637.33,100.0,30
Hambantota,2023,7,July,624.27,589.06,94.36,31
Hambantota,2023,8,August,701.81,701.81,100.0,31
Hambantota,2023,9,September,580.65,515.0,88.69,30
Hambantota,2023,10,October,528.18,451.25,85.43,31
Hambantota,2023,11,November,500.92,418.07,83.46,30
