district,year,month,total_radiation,radiation_above_threshold,percentage_above_threshold,record_count
Anuradhapura,2023,9,572.5799999999999,551.33,96.28872821265153,30
Anuradhapura,2023,10,557.92,534.7500000000001,95.8470748494408,31
Anuradhapura,2023,11,436.75,191.81999999999996,43.91986262163709,30
Anuradhapura,2023,12,437.35,235.24,53.78758431462215,31
Anuradhapura,2024,1,510.66,384.15,75.22617788743977,31
Anuradhapura,2024,2,638.45,638.45,100.0,29
Anuradhapura,2024,3,737.9799999999999,737.9799999999999,100.0,31
Anuradhapura,2024,4,699.51,699.51,100.0,30
Anuradhapura,2024,5,571.05,483.82,84.72463006741967,31
Anuradhapura,2024,6,139.23000000000002,127.09,91.28061481002656,8
Badulla,2010,1,551.4499999999999,506.11000000000007,91.77803971348266,31
Badulla,2010,2,590.98,530.1700000000001,89.71031168567465,28
Badulla,2010,3,705.1200000000001,705.1200000000001,100.0,31
Badulla,2010,4,603.9300000000001,578.6900000000002,95.82070769791203,30
Badulla,2010,5,587.6499999999997,552.2399999999999,93.97430443291077,31
Badulla,2010,6,568.1600000000001,517.52,91.08701774148126,30
Badulla,2010,7,600.6599999999999,546.4199999999998,90.96993307361902,31
Badulla,2010,8,567.2500000000002,504.8400000000001,88.99779638607313,31
Badulla,2010,9,546.06,460.36,84.30575394645278,30
Badulla,2010,10,606.1900000000002,555.9000000000001,91.70392121282104,31
Badulla,2010,11,443.19,271.43,61.24461291996661,30
Badulla,2010,12,392.00000000000006,218.69,55.78826530612244,31
Badulla,2011,1,418.69,270.41,64.58477632616018,31
Badulla,2011,2,437.2,325.14000000000004,74.36870997255262,28
Badulla,2011,3,630.74,594.1400000000001,94.19729206963251,31
Badulla,2011,4,591.52,556.1899999999999,94.0272518258047,30
Badulla,2011,5,672.8000000000002,672.8000000000002,100.0,31
Badulla,2011,6,644.99,630.3999999999999,97.73794942557247,30
Badulla,2011,7,617.8800000000001,617.8800000000001,100.0,31
Badulla,2011,8,610.4,568.2800000000001,93.09960681520316,31
Badulla,2011,9,638.6300000000002,626.2200000000001,98.05677778995661,30
Badulla,2011,10,556.27,488.08,87.74156434824816,31
Badulla,2011,11,453.5999999999999,300.15000000000003,66.17063492063494,30
Badulla,2011,12,457.70000000000005,329.97,72.0930740659821,31
Badulla,2012,1,572.62,558.2199999999999,97.48524326778664,31
Badulla,2012,2,567.5999999999999,503.84999999999997,88.76849894291755,29
Badulla,2012,3,701.0899999999999,701.0899999999999,100.0,31
Badulla,2012,4,579.6399999999999,555.6099999999999,95.85432337312815,30
Badulla,2012,5,724.26,724.26,100.0,31
Badulla,2012,6,608.42,608.42,100.0,30
Badulla,2012,7,649.0899999999999,649.0899999999999,100.0,31
Badulla,2012,8,639.6500000000001,639.6500000000001,100.0,31
Badulla,2012,9,617.2199999999999,604.2199999999999,97.89378179579404,30
Badulla,2012,10,526.06,403.2700000000001,76.65855605824433,31
Badulla,2012,11,454.40999999999997,285.88,62.91234787966814,30
Badulla,2012,12,440.7399999999999,262.59,59.57934383082998,31
Badulla,2013,1,487.08,362.09999999999997,74.34097068243409,31
Badulla,2013,2,521.53,462.55,88.69096696259085,28
Badulla,2013,3,610.8000000000001,593.3600000000001,97.14472822527833,31
Badulla,2013,4,651.7999999999998,636.99,97.72783062289048,30
Badulla,2013,5,608.3000000000002,545.0200000000001,89.59723820483313,31
Badulla,2013,6,535.0600000000001,463.92,86.70429484543789,30
Badulla,2013,7,615.6899999999999,615.6899999999999,100.0,31
Badulla,2013,8,658.4499999999999,644.16,97.82975168957401,31
Badulla,2013,9,602.14,560.76,93.12784402298469,30
Badulla,2013,10,614.41,572.19,93.12836705131754,31
Badulla,2013,11,513.3299999999999,434.33,84.61028967720571,30
Badulla,2013,12,426.50999999999993,321.2099999999999,75.31124709854399,31
Badulla,2014,1,521.77,436.26,83.61155298311516,31
Badulla,2014,2,612.15,612.15,100.0,28
Badulla,2014,3,714.1999999999999,700.12,98.02856342761133,31
Badulla,2014,4,642.1900000000002,613.3600000000001,95.51067441099985,30
Badulla,2014,5,619.4699999999998,599.7699999999999,96.81986214021666,31
Badulla,2014,6,612.43,585.18,95.55051189523701,30
Badulla,2014,7,641.66,630.31,98.2311504535112,31
Badulla,2014,8,612.91,600.54,97.98175914897783,31
Badulla,2014,9,628.4799999999999,628.4799999999999,100.0,30
Badulla,2014,10,523.8399999999999,439.09,83.82139584605987,31
Badulla,2014,11,442.46,326.67,73.83040274827104,30
Badulla,2014,12,375.46999999999997,209.56,55.81271473087065,31
Badulla,2015,1,567.4100000000001,498.43,87.8430059392679,31
Badulla,2015,2,542.81,501.21,92.3361765627015,28
Badulla,2015,3,707.7899999999998,684.1899999999998,96.66567767275603,31
Badulla,2015,4,599.94,572.89,95.49121578824547,30
Badulla,2015,5,614.9200000000001,586.95,95.45144083783256,31
Badulla,2015,6,621.2700000000001,608.5200000000001,97.94775218504031,30
Badulla,2015,7,643.9300000000001,618.6,96.0663426148805,31
Badulla,2015,8,651.51,607.5099999999999,93.24645822780923,31
Badulla,2015,9,557.9800000000001,511.13000000000005,91.60364170758807,30
Badulla,2015,10,505.02000000000015,379.4200000000001,75.12969783374915,31
Badulla,2015,11,445.01000000000005,298.51,67.07939147434888,30
Badulla,2015,12,470.06000000000006,287.15,61.087946219631526,31
Badulla,2016,1,581.4699999999999,538.8499999999999,92.67030113333448,31
Badulla,2016,2,587.9200000000001,550.09,93.56545108177983,29
Badulla,2016,3,736.76,736.76,100.0,31
Badulla,2016,4,661.86,661.86,100.0,30
Badulla,2016,5,521.2,414.95000000000005,79.61435149654643,31
Badulla,2016,6,588.8599999999999,575.16,97.67347077403798,30
Badulla,2016,7,622.9,594.68,95.46957778134532,31
Badulla,2016,8,665.9699999999998,638.8199999999998,95.92323978557593,31
Badulla,2016,9,663.34,663.34,100.0,30
Badulla,2016,10,646.27,632.23,97.82753338387981,31
Badulla,2016,11,439.63999999999993,216.65999999999997,49.28123009735238,30
Badulla,2016,12,549.3199999999999,484.17,88.13988203597177,31
Badulla,2017,1,532.48,420.0100000000001,78.87807992788464,31
Badulla,2017,2,540.35,477.9700000000001,88.45563060978996,28
Badulla,2017,3,663.7899999999998,627.9599999999998,94.6022085298061,31
Badulla,2017,4,723.78,723.78,100.0,30
Badulla,2017,5,628.42,600.93,95.6255370612011,31
Badulla,2017,6,594.86,558.4,93.87082674915106,30
Badulla,2017,7,623.66,623.66,100.0,31
Badulla,2017,8,589.53,563.63,95.6066697199464,31
Badulla,2017,9,547.92,480.11,87.62410570886261,30
Badulla,2017,10,521.62,419.2200000000001,80.36885088761936,31
Badulla,2017,11,399.1400000000001,225.84,56.581650548679654,30
Badulla,2017,12,461.0400000000001,295.46,64.08554572271385,31
Badulla,2018,1,547.75,455.29,83.12003651300776,31
Badulla,2018,2,507.0800000000001,438.2600000000001,86.428177013489,28
Badulla,2018,3,604.9200000000001,541.1,89.44984460755141,31
Badulla,2018,4,606.2500000000002,578.8900000000001,95.48701030927833,30
Badulla,2018,5,536.0900000000001,452.14000000000004,84.3403159917178,31
Badulla,2018,6,616.6400000000001,616.6400000000001,100.0,30
Badulla,2018,7,632.55,617.73,97.65710220535927,31
Badulla,2018,8,624.47,560.79,89.80255256457474,31
Badulla,2018,9,626.35,597.28,95.35882493813362,30
Badulla,2018,10,481.15,340.3,70.72638470331498,31
Badulla,2018,11,469.19000000000005,315.36999999999995,67.2158400647925,30
Badulla,2018,12,491.14,363.65,74.04202467728143,31
Badulla,2019,1,518.24,369.7799999999999,71.35304106205618,31
Badulla,2019,2,498.85,393.76,78.93354715846446,28
Badulla,2019,3,728.73,713.74,97.94299672032164,31
Badulla,2019,4,609.9499999999999,574.43,94.17657185015166,30
Badulla,2019,5,680.0899999999998,680.0899999999998,100.0,31
