District,Month,MonthName,TotalPrecipitation,MeanTemperature,RecordCount,Summary
Gampaha,5,May,6817.0,26.99,465,Gampaha had a total precipitation of 6817.00 hours with a mean temperature of 26.99°C for 5th month
Gampaha,6,June,7410.0,26.6,428,Gampaha had a total precipitation of 7410.00 hours with a mean temperature of 26.60°C for 6th month
Gampaha,7,July,6217.0,26.47,434,Gampaha had a total precipitation of 6217.00 hours with a mean temperature of 26.47°C for 7th month
Gampaha,8,August,6334.0,26.23,434,Gampaha had a total precipitation of 6334.00 hours with a mean temperature of 26.23°C for 8th month
Gampaha,9,September,6636.0,26.02,420,Gampaha had a total precipitation of 6636.00 hours with a mean temperature of 26.02°C for 9th month
Hambantota,1,January,1738.0,26.19,465,Hambantota had a total precipitation of 1738.00 hours with a mean temperature of 26.19°C for 1st month
Hambantota,10,October,3336.0,27.13,434,Hambantota had a total precipitation of 3336.00 hours with a mean temperature of 27.13°C for 10th month
Hambantota,11,November,4047.0,26.34,420,Hambantota had a total precipitation of 4047.00 hours with a mean temperature of 26.34°C for 11th month
Hambantota,12,December,3224.0,26.01,434,Hambantota had a total precipitation of 3224.00 hours with a mean temperature of 26.01°C for 12th month
Hambantota,2,February,1394.0,26.81,424,Hambantota had a total precipitation of 1394.00 hours with a mean temperature of 26.81°C for 2nd month
Hambantota,3,March,1941.0,27.56,465,Hambantota had a total precipitation of 1941.00 hours with a mean temperature of 27.56°C for 3rd month
Hambantota,4,April,2796.0,27.99,450,Hambantota had a total precipitation of 2796.00 hours with a mean temperature of 27.99°C for 4th month
Hambantota,5,May,2929.0,28.06,465,Hambantota had a total precipitation of 2929.00 hours with a mean temperature of 28.06°C for 5th month
Hambantota,6,June,1786.0,28.14,428,Hambantota had a total precipitation of 1786.00 hours with a mean temperature of 28.14°C for 6th month
Hambantota,7,July,1397.0,28.18,434,Hambantota had a total precipitation of 1397.00 hours with a mean temperature of 28.18°C for 7th month
Hambantota,8,August,1769.0,27.96,434,Hambantota had a total precipitation of 1769.00 hours with a mean temperature of 27.96°C for 8th month
Hambantota,9,September,2495.0,27.55,420,Hambantota had a total precipitation of 2495.00 hours with a mean temperature of 27.55°C for 9th month
Jaffna,1,January,1724.0,25.52,465,Jaffna had a total precipitation of 1724.00 hours with a mean temperature of 25.52°C for 1st month
Jaffna,10,October,4201.0,27.48,434,Jaffna had a total precipitation of 4201.00 hours with a mean temperature of 27.48°C for 10th month
Jaffna,11,November,5121.0,26.39,420,Jaffna had a total precipitation of 5121.00 hours with a mean temperature of 26.39°C for 11th month
Jaffna,12,December,3897.0,25.78,434,Jaffna had a total precipitation of 3897.00 hours with a mean temperature of 25.78°C for 12th month
Jaffna,2,February,1000.0,26.27,424,Jaffna had a total precipitation of 1000.00 hours with a mean temperature of 26.27°C for 2nd month
Jaffna,3,March,840.0,27.99,465,Jaffna had a total precipitation of 840.00 hours with a mean temperature of 27.99°C for 3rd month
Jaffna,4,April,1847.0,29.34,450,Jaffna had a total precipitation of 1847.00 hours with a mean temperature of 29.34°C for 4th month
Jaffna,5,May,1967.0,29.36,465,Jaffna had a total precipitation of 1967.00 hours with a mean temperature of 29.36°C for 5th month
Jaffna,6,June,1137.0,29.11,428,Jaffna had a total precipitation of 1137.00 hours with a mean temperature of 29.11°C for 6th month
Jaffna,7,July,1197.0,28.8,434,Jaffna had a total precipitation of 1197.00 hours with a mean temperature of 28.80°C for 7th month
Jaffna,8,August,1673.0,28.36,434,Jaffna had a total precipitation of 1673.00 hours with a mean temperature of 28.36°C for 8th month
Jaffna,9,September,1995.0,28.13,420,Jaffna had a total precipitation of 1995.00 hours with a mean temperature of 28.13°C for 9th month
Kalutara,1,January,1794.0,25.87,465,Kalutara had a total precipitation of 1794.00 hours with a mean temperature of 25.87°C for 1st month
Kalutara,10,October,6255.0,26.06,434,Kalutara had a total precipitation of 6255.00 hours with a mean temperature of 26.06°C for 10th month
Kalutara,11,November,4844.0,25.78,420,Kalutara had a total precipitation of 4844.00 hours with a mean temperature of 25.78°C for 11th month
Kalutara,12,December,3328.0,25.69,434,Kalutara had a total precipitation of 3328.00 hours with a mean temperature of 25.69°C for 12th month
Kalutara,2,February,1686.0,26.51,424,Kalutara had a total precipitation of 1686.00 hours with a mean temperature of 26.51°C for 2nd month
Kalutara,3,March,2500.0,27.13,465,Kalutara had a total precipitation of 2500.00 hours with a mean temperature of 27.13°C for 3rd month
Kalutara,4,April,4137.0,27.28,450,Kalutara had a total precipitation of 4137.00 hours with a mean temperature of 27.28°C for 4th month
Kalutara,5,May,7274.0,27.13,465,Kalutara had a total precipitation of 7274.00 hours with a mean temperature of 27.13°C for 5th month
Kalutara,6,June,7205.0,26.83,428,Kalutara had a total precipitation of 7205.00 hours with a mean temperature of 26.83°C for 6th month
Kalutara,7,July,6088.0,26.63,434,Kalutara had a total precipitation of 6088.00 hours with a mean temperature of 26.63°C for 7th month
Kalutara,8,August,6442.0,26.41,434,Kalutara had a total precipitation of 6442.00 hours with a mean temperature of 26.41°C for 8th month
Kalutara,9,September,6707.0,26.23,420,Kalutara had a total precipitation of 6707.00 hours with a mean temperature of 26.23°C for 9th month
Kandy,1,January,1675.0,22.74,465,Kandy had a total precipitation of 1675.00 hours with a mean temperature of 22.74°C for 1st month
Kandy,10,October,4446.0,23.41,434,Kandy had a total precipitation of 4446.00 hours with a mean temperature of 23.41°C for 10th month
Kandy,11,November,4025.0,23.05,420,Kandy had a total precipitation of 4025.00 hours with a mean temperature of 23.05°C for 11th month
Kandy,12,December,3330.0,22.72,434,Kandy had a total precipitation of 3330.00 hours with a mean temperature of 22.72°C for 12th month
Kandy,2,February,1381.0,23.59,424,Kandy had a total precipitation of 1381.00 hours with a mean temperature of 23.59°C for 2nd month
Kandy,3,March,1601.0,24.98,465,Kandy had a total precipitation of 1601.00 hours with a mean temperature of 24.98°C for 3rd month
Kandy,4,April,2825.0,25.23,450,Kandy had a total precipitation of 2825.00 hours with a mean temperature of 25.23°C for 4th month
Kandy,5,May,3888.0,24.68,465,Kandy had a total precipitation of 3888.00 hours with a mean temperature of 24.68°C for 5th month
Kandy,6,June,4169.0,24.19,428,Kandy had a total precipitation of 4169.00 hours with a mean temperature of 24.19°C for 6th month
