District,Month,MonthName,TotalPrecipitation,MeanTemperature,RecordCount,Summary
Polonnaruwa,7,July,617.0,29.13,434,Polonnaruwa had a total precipitation of 617.00 hours with a mean temperature of 29.13°C for 7th month
Polonnaruwa,8,August,794.0,28.99,434,Polonnaruwa had a total precipitation of 794.00 hours with a mean temperature of 28.99°C for 8th month
Polonnaruwa,9,September,1089.0,28.63,420,Polonnaruwa had a total precipitation of 1089.00 hours with a mean temperature of 28.63°C for 9th month
Puttalam,1,January,1470.0,25.58,465,Puttalam had a total precipitation of 1470.00 hours with a mean temperature of 25.58°C for 1st month
Puttalam,10,October,4920.0,26.65,434,Puttalam had a total precipitation of 4920.00 hours with a mean temperature of 26.65°C for 10th month
Puttalam,11,November,3975.0,26.06,420,Puttalam had a total precipitation of 3975.00 hours with a mean temperature of 26.06°C for 11th month
Puttalam,12,December,2798.0,25.74,434,Puttalam had a total precipitation of 2798.00 hours with a mean temperature of 25.74°C for 12th month
Puttalam,2,February,1022.0,26.52,424,Puttalam had a total precipitation of 1022.00 hours with a mean temperature of 26.52°C for 2nd month
Puttalam,3,March,1491.0,27.83,465,Puttalam had a total precipitation of 1491.00 hours with a mean temperature of 27.83°C for 3rd month
Puttalam,4,April,3116.0,28.07,450,Puttalam had a total precipitation of 3116.00 hours with a mean temperature of 28.07°C for 4th month
Puttalam,5,May,4610.0,28.04,465,Puttalam had a total precipitation of 4610.00 hours with a mean temperature of 28.04°C for 5th month
Puttalam,6,June,4229.0,27.68,428,Puttalam had a total precipitation of 4229.00 hours with a mean temperature of 27.68°C for 6th month
Puttalam,7,July,2762.0,27.47,434,Puttalam had a total precipitation of 2762.00 hours with a mean temperature of 27.47°C for 7th month
Puttalam,8,August,3227.0,27.26,434,Puttalam had a total precipitation of 3227.00 hours with a mean temperature of 27.26°C for 8th month
Puttalam,9,September,4298.0,27.06,420,Puttalam had a total precipitation of 4298.00 hours with a mean temperature of 27.06°C for 9th month
Ratnapura,1,January,2323.0,24.99,465,Ratnapura had a total precipitation of 2323.00 hours with a mean temperature of 24.99°C for 1st month
Ratnapura,10,October,6264.0,24.89,434,Ratnapura had a total precipitation of 6264.00 hours with a mean temperature of 24.89°C for 10th month
Ratnapura,11,November,4784.0,24.83,420,Ratnapura had a total precipitation of 4784.00 hours with a mean temperature of 24.83°C for 11th month
Ratnapura,12,December,3647.0,24.74,434,Ratnapura had a total precipitation of 3647.00 hours with a mean temperature of 24.74°C for 12th month
Ratnapura,2,February,2059.0,25.62,424,Ratnapura had a total precipitation of 2059.00 hours with a mean temperature of 25.62°C for 2nd month
Ratnapura,3,March,2553.0,26.19,465,Ratnapura had a total precipitation of 2553.00 hours with a mean temperature of 26.19°C for 3rd month
Ratnapura,4,April,4230.0,26.22,450,Ratnapura had a total precipitation of 4230.00 hours with a mean temperature of 26.22°C for 4th month
Ratnapura,5,May,7365.0,25.89,465,Ratnapura had a total precipitation of 7365.00 hours with a mean temperature of 25.89°C for 5th month
Ratnapura,6,June,7899.0,25.41,428,Ratnapura had a total precipitation of 7899.00 hours with a mean temperature of 25.41°C for 6th month
Ratnapura,7,July,7266.0,25.21,434,Ratnapura had a total precipitation of 7266.00 hours with a mean temperature of 25.21°C for 7th month
Ratnapura,8,August,7403.0,25.01,434,Ratnapura had a total precipitation of 7403.00 hours with a mean temperature of 25.01°C for 8th month
Ratnapura,9,September,7127.0,24.91,420,Ratnapura had a total precipitation of 7127.00 hours with a mean temperature of 24.91°C for 9th month
Trincomalee,1,January,3909.0,25.61,465,Trincomalee had a total precipitation of 3909.00 hours with a mean temperature of 25.61°C for 1st month
Trincomalee,10,October,3481.0,27.35,434,Trincomalee had a total precipitation of 3481.00 hours with a mean temperature of 27.35°C for 10th month
Trincomalee,11,November,5456.0,26.16,420,Trincomalee had a total precipitation of 5456.00 hours with a mean temperature of 26.16°C for 11th month
Trincomalee,12,December,5504.0,25.75,434,Trincomalee had a total precipitation of 5504.00 hours with a mean temperature of 25.75°C for 12th month
Trincomalee,2,February,2689.0,26.2,424,Trincomalee had a total precipitation of 2689.00 hours with a mean temperature of 26.20°C for 2nd month
Trincomalee,3,March,1864.0,27.42,465,Trincomalee had a total precipitation of 1864.00 hours with a mean temperature of 27.42°C for 3rd month
Trincomalee,4,April,1659.0,28.66,450,Trincomalee had a total precipitation of 1659.00 hours with a mean temperature of 28.66°C for 4th month
Trincomalee,5,May,1502.0,29.22,465,Trincomalee had a total precipitation of 1502.00 hours with a mean temperature of 29.22°C for 5th month
Trincomalee,6,June,629.0,29.67,428,Trincomalee had a total precipitation of 629.00 hours with a mean temperature of 29.67°C for 6th month
Trincomalee,7,July,751.0,29.3,434,Trincomalee had a total precipitation of 751.00 hours with a mean temperature of 29.30°C for 7th month
Trincomalee,8,August,983.0,28.91,434,Trincomalee had a total precipitation of 983.00 hours with a mean temperature of 28.91°C for 8th month
Trincomalee,9,September,1350.0,28.53,420,Trincomalee had a total precipitation of 1350.00 hours with a mean temperature of 28.53°C for 9th month
Vavuniya,1,January,2111.0,24.4,465,Vavuniya had a total precipitation of 2111.00 hours with a mean temperature of 24.40°C for 1st month
Vavuniya,10,October,3348.0,26.6,434,Vavuniya had a total precipitation of 3348.00 hours with a mean temperature of 26.60°C for 10th month
Vavuniya,11,November,4076.0,25.23,420,Vavuniya had a total precipitation of 4076.00 hours with a mean temperature of 25.23°C for 11th month
Vavuniya,12,December,3697.0,24.67,434,Vavuniya had a total precipitation of 3697.00 hours with a mean temperature of 24.67°C for 12th month
Vavuniya,2,February,1357.0,25.28,424,Vavuniya had a total precipitation of 1357.00 hours with a mean temperature of 25.28°C for 2nd month
Vavuniya,3,March,1069.0,27.18,465,Vavuniya had a total precipitation of 1069.00 hours with a mean temperature of 27.18°C for 3rd month
Vavuniya,4,April,1678.0,28.35,450,Vavuniya had a total precipitation of 1678.00 hours with a mean temperature of 28.35°C for 4th month
Vavuniya,5,May,1847.0,28.29,465,Vavuniya had a total precipitation of 1847.00 hours with a mean temperature of 28.29°C for 5th month
Vavuniya,6,June,1052.0,28.69,428,Vavuniya had a total precipitation of 1052.00 hours with a mean temperature of 28.69°C for 6th month
Vavuniya,7,July,990.0,28.52,434,Vavuniya had a total precipitation of 990.00 hours with a mean temperature of 28.52°C for 7th month
Vavuniya,8,August,1261.0,28.16,434,Vavuniya had a total precipitation of 1261.00 hours with a mean temperature of 28.16°C for 8th month
Vavuniya,9,September,1604.0,27.83,420,Vavuniya had a total precipitation of 1604.00 hours with a mean temperature of 27.83°C for 9th month
Welimada,1,January,3664.0,19.12,465,Welimada had a total precipitation of 3664.00 hours with a mean temperature of 19.12°C for 1st month
Welimada,10,October,4288.0,21.22,434,Welimada had a total precipitation of 4288.00 hours with a mean temperature of 21.22°C for 10th month
Welimada,11,November,4582.0,20.2,420,Welimada had a total precipitation of 4582.00 hours with a mean temperature of 20.20°C for 11th month
Welimada,12,December,4583.0,19.64,434,Welimada had a total precipitation of 4583.00 hours with a mean temperature of 19.64°C for 12th month
Welimada,2,February,2942.0,19.64,424,Welimada had a total precipitation of 2942.00 hours with a mean temperature of 19.64°C for 2nd month
Welimada,3,March,2255.0,20.72,465,Welimada had a total precipitation of 2255.00 hours with a mean temperature of 20.72°C for 3rd month
Welimada,4,April,2960.0,21.51,450,Welimada had a total precipitation of 2960.00 hours with a mean temperature of 21.51°C for 4th month
Welimada,5,May,3536.0,22.43,465,Welimada had a total precipitation of 3536.00 hours with a mean temperature of 22.43°C for 5th month
Welimada,6,June,3076.0,22.69,428,Welimada had a total precipitation of 3076.00 hours with a mean temperature of 22.69°C for 6th month
Welimada,7,July,3133.0,22.69,434,Welimada had a total precipitation of 3133.00 hours with a mean temperature of 22.69°C for 7th month
Welimada,8,August,3216.0,22.45,434,Welimada had a total precipitation of 3216.00 hours with a mean temperature of 22.45°C for 8th month
Welimada,9,September,3315.0,22.01,420,Welimada had a total precipitation of 3315.00 hours with a mean temperature of 22.01°C for 9th month
