year,month,hottest_month_name,avg_max_temperature_C
2010,3,March,31.24
2011,6,June,30.44
2012,5,May,31.04
2013,4,April,30.64
2014,4,April,30.78
2015,7,July,30.11
2016,4,April,31.96
2017,4,April,31.73
2018,4,April,30.45
2019,5,May,31.55
2020,3,March,31.44
2021,4,April,30.46
2022,3,March,30.02
2023,8,August,31.87
2024,4,April,32.5
